reaction_id,flux,absolute_flux
SO4t2pp,0.22084543853699995,0.22084543853699995
SO4tex,0.22084543853699992,0.22084543853699992
EX_so4_e,-0.22084543853699992,0.22084543853699992
ADSK,0.21704102462081576,0.21704102462081576
BPNT,0.21704102462081576,0.21704102462081576
PAPSR,0.21704102462081573,0.21704102462081573
SADT2,0.21704102462081573,0.21704102462081573
TRDR,0.2170410246208157,0.2170410246208157
SULR,0.2170410246208157,0.2170410246208157
CYSS,0.2170410246208157,0.2170410246208157
SERAT,0.21704102462081568,0.21704102462081568
IMPD,0.21331027847064365,0.21331027847064365
GMPS,0.21331027847064365,0.21331027847064365
GK1,0.21331027847064365,0.21331027847064365
ASNS2,0.21140456352369386,0.21140456352369386
P5CR,0.1938646192351544,0.1938646192351544
